Team 1 Score,Predicted Team 1 Score,Team 2 Score,Predicted Team 2 Score
92,,66,
74,,69,
83,,81,
89,,70,
84,,70,
73,,63,
76,,74,
89,,69,
71,,57,
60,,43,
79,,72,
74,,69,
83,,79,
84,,76,
78,,67,
60,,49,
72,,60,
102,,91,
60,,55,
77,,54,
103,,64,
67,,62,
98,,77,
84,,71,
82,,75,
78,,76,
64,,52,
72,,60,
82,,73,
83,,69,
89,,72,
61,,44,
68,,59,
77,,59,
99,,92,
90,,74,
82,,62,
100,,71,
66,,65,
62,,57,
69,,66,
97,,83,
51,,50,
80,,71,
62,,59,
73,,70,
81,,80,
80,,78,
77,,62,
78,,65,
73,,44,
64,,59,
67,,60,
89,,77,
70,,67,
86,,78,
68,,51,
89,,66,
72,,64,
79,,56,
69,,53,
77,,50,
53,,49,
65,,54,
76,,68,
54,,52,
84,,72,
90,,60,
69,,67,
75,,68,
83,,68,
82,,64,
87,,69,
68,,53,
85,,83,
75,,66,
63,,61,
87,,65,
68,,59,
71,,68,
63,,59,
101,,96,
62,,45,
69,,56,
72,,49,
70,,57,
59,,52,
76,,73,
63,,56,
73,,66,
78,,71,
70,,69,
52,,50,
78,,57,
61,,59,
70,,52,
81,,77,
70,,61,
59,,46,
60,,58,
74,,66,
78,,63,
81,,52,
79,,51,
86,,71,
73,,68,
59,,57,
62,,61,
74,,51,
69,,66,
68,,50,
66,,64,
78,,76,
84,,76,
72,,58,
77,,75,
87,,45,
57,,50,
61,,57,
73,,62,
72,,53,
66,,55,
75,,45,
102,,87,
69,,56,
75,,46,
65,,43,
77,,60,
85,,81,
74,,56,
68,,65,
71,,70,
89,,67,
69,,58,
73,,65,
71,,63,
65,,48,
71,,64,
70,,65,
70,,69,
73,,71,
71,,57,
73,,59,
66,,62,
86,,83,
98,,66,
94,,76,
93,,77,
61,,54,
74,,67,
83,,74,
77,,57,
62,,60,
81,,63,
72,,71,
74,,71,
65,,63,
76,,69,
71,,61,
70,,62,
56,,55,
53,,41,
78,,72,
59,,58,
65,,54,
71,,59,
68,,60,
68,,64,
77,,54,
79,,66,
77,,64,
70,,64,
81,,66,
69,,62,
88,,68,
58,,41,
75,,68,
78,,59,
72,,65,
62,,59,
79,,70,
73,,49,
65,,59,
58,,57,
71,,45,
66,,63,
74,,59,
65,,50,
75,,70,
89,,67,
79,,65,
86,,84,
77,,58,
65,,60,
72,,69,
58,,44,
61,,54,
67,,63,
80,,63,
63,,61,
87,,71,
59,,56,
62,,53,
73,,66,
75,,59,
60,,57,
62,,56,
84,,50,
63,,60,
65,,61,
66,,63,
87,,73,
62,,56,
70,,58,
68,,58,
57,,44,
81,,66,
64,,63,
75,,70,
60,,57,
102,,90,
73,,65,
72,,68,
77,,70,
80,,67,
82,,70,
64,,62,
69,,61,
67,,59,
73,,72,
67,,54,
68,,55,
80,,71,
81,,64,
68,,56,
64,,61,
84,,72,
64,,58,
68,,62,
79,,48,
59,,58,
54,,52,
71,,56,
65,,54,
68,,55,
64,,44,
81,,34,
88,,42,
73,,55,
67,,63,
73,,61,
78,,68,
79,,47,
57,,49,
83,,62,
76,,58,
64,,57,
63,,61,
78,,49,
83,,63,
57,,46,
78,,71,
95,,70,
70,,55,
76,,72,
74,,51,
82,,56,
74,,72,
78,,53,
70,,48,
74,,57,
66,,60,
76,,70,
66,,50,
81,,71,
78,,64,
58,,52,
70,,58,
76,,74,
63,,59,
78,,75,
71,,61,
73,,70,
61,,50,
72,,58,
71,,61,
62,,50,
77,,69,
87,,85,
55,,39,
70,,66,
85,,63,
79,,59,
72,,68,
61,,56,
82,,76,
71,,64,
74,,59,
81,,69,
78,,65,
89,,81,
60,,59,
67,,55,
61,,57,
71,,64,
57,,40,
93,,78,
80,,75,
87,,68,
77,,48,
73,,69,
83,,80,
77,,53,
87,,85,
73,,53,
75,,35,
68,,59,
74,,60,
76,,66,
85,,77,
93,,75,
80,,69,
56,,49,
71,,66,
78,,71,
79,,77,
77,,75,
58,,53,
86,,67,
76,,59,
70,,59,
64,,37,
77,,65,
55,,53,
61,,45,
66,,51,
79,,65,
80,,73,
63,,44,
85,,77,
84,,61,
85,,55,
85,,83,
78,,76,
60,,57,
83,,63,
77,,60,
78,,60,
70,,64,
82,,72,
79,,68,
69,,52,
81,,76,
74,,69,
73,,71,
61,,59,
62,,52,
64,,63,
60,,54,
75,,72,
63,,53,
74,,73,
60,,54,
74,,64,
94,,90,
56,,55,
81,,77,
93,,72,
56,,53,
56,,48,
66,,65,
84,,74,
