Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
228,N/A,Radford,BSth,16,17,-4.92,107.3,154,112.3,308,63.4,347,+.018,140,-1.52,210,105.7,196,107.3,234,+0.24,196
229,N/A,Nicholls St.,Slnd,20,14,-4.94,104.7,210,109.6,244,66.1,258,+.101,13,-2.96,253,104.1,279,107.1,222,+9.99,14
230,N/A,Rice,Amer,11,21,-5.00,106.6,170,111.6,292,65.8,272,-.059,316,+2.80,113,107.7,117,104.9,124,-0.23,206
231,N/A,Green Bay,Horz,18,14,-5.08,103.9,221,109.0,236,63.6,345,+.070,35,-2.91,251,105.4,215,108.3,295,+2.35,122
232,N/A,Maine,AE,15,17,-5.09,97.3,319,102.4,100,65.4,299,+.003,171,-2.48,238,104.3,262,106.8,208,-1.07,230
233,N/A,Cal St. Fullerton,BW,14,18,-5.15,100.2,284,105.4,157,66.3,249,+.019,137,+0.50,152,105.9,189,105.4,139,+5.71,54
234,N/A,Cal St. Northridge,BW,19,15,-5.20,100.2,283,105.4,158,72.5,13,+.051,63,-3.04,256,104.0,282,107.0,219,-7.36,354
235,N/A,Columbia,Ivy,13,14,-5.22,106.8,168,112.0,299,68.5,112,-.036,279,-2.32,233,104.3,266,106.6,195,-7.28,353
236,N/A,Norfolk St.,MEAC,22,11,-5.25,103.4,230,108.6,226,66.4,247,+.081,22,-7.06,343,100.8,347,107.9,270,+2.29,125
237,N/A,North Dakota,Sum,18,14,-5.28,105.4,193,110.7,268,66.6,237,+.025,115,-5.26,312,104.8,248,110.1,361,-5.61,332
238,N/A,Fresno St.,MWC,12,21,-5.30,103.6,224,108.9,234,65.5,287,+.002,173,+5.55,91,109.5,90,104.0,93,-3.76,293
