Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
106,12,UAB,Amer,23,11,+6.28,113.7,59,107.4,202,67.8,153,+.116,11,+4.45,98,108.8,96,104.4,109,+1.94,136
107,N/A,Arkansas,SEC,16,17,+5.81,110.0,103,104.2,136,70.7,36,+.046,72,+9.66,51,112.5,19,102.8,80,+2.08,130
108,N/A,Western Carolina,SC,22,10,+5.68,109.2,116,103.5,122,66.8,225,+.002,174,-0.59,183,106.2,175,106.8,211,+0.19,198
109,N/A,Santa Clara,WCC,20,13,+5.61,109.8,105,104.2,134,69.1,86,+.013,151,+2.61,119,107.7,118,105.1,128,+4.07,84
110,N/A,Northern Iowa,MVC,19,14,+5.54,109.2,117,103.7,125,66.6,235,+.036,99,+4.95,96,108.8,97,103.8,92,+6.28,45
111,14,Morehead St.,OVC,26,8,+5.47,109.0,124,103.5,120,64.2,335,+.044,80,-5.79,319,103.1,297,108.9,334,+7.96,24
112,N/A,High Point,BSth,25,8,+5.40,115.9,34,110.5,262,68.5,109,-.061,319,-4.40,291,104.1,276,108.5,310,-4.33,309
113,N/A,Belmont,MVC,20,13,+5.34,109.4,112,104.0,130,71.2,28,+.056,57,+2.81,111,107.9,110,105.1,131,+1.54,148
114,N/A,Hofstra,CAA,20,13,+5.34,108.5,136,103.2,114,65.6,280,-.038,282,-0.18,171,107.6,120,107.8,264,+5.50,57
115,N/A,Oklahoma St.,B12,12,20,+5.33,109.0,123,103.7,126,67.0,210,-.070,328,+9.70,50,110.6,70,100.9,24,-5.57,329
116,14,Akron,MAC,24,10,+4.94,107.0,162,102.1,97,65.9,268,-.002,191,-1.86,219,105.4,218,107.3,235,+6.45,42
117,N/A,UT Arlington,WAC,20,14,+4.91,109.1,121,104.2,135,71.0,33,+.018,139,+1.53,132,106.1,182,104.6,112,+9.66,16
118,N/A,UNC Wilmington,CAA,21,10,+4.83,113.3,66,108.5,223,65.2,303,+.020,134,-0.27,175,106.4,163,106.7,204,+5.97,50
119,N/A,Charlotte,Amer,19,12,+4.71,108.7,131,104.0,131,62.4,356,+.046,74,+2.80,112,107.8,113,105.0,127,+2.88,116
120,N/A,Seattle,WAC,19,14,+4.54,105.3,198,100.7,71,66.7,230,-.085,344,-0.80,192,104.5,258,105.3,136,-1.15,234
121,N/A,UC San Diego,BW,21,11,+4.53,111.9,80,107.3,200,65.3,300,-.010,214,-1.92,220,104.2,272,106.2,173,-0.74,222
122,N/A,Southern Illinois,MVC,19,13,+4.52,109.3,114,104.8,147,64.4,332,-.018,234,+0.78,142,106.7,153,105.9,161,-6.79,345
123,N/A,California,P12,13,19,+4.49,109.0,126,104.5,141,68.4,118,-.003,193,+8.90,70,110.7,66,101.8,58,+0.86,167
124,N/A,Drexel,CAA,20,12,+4.29,108.3,140,104.0,132,64.4,330,-.035,276,-1.80,216,105.6,205,107.4,243,+0.70,175
125,N/A,Davidson,A10,15,17,+4.27,105.6,190,101.3,86,65.5,285,-.080,338,+4.32,99,108.0,109,103.6,90,+0.94,166
126,N/A,Notre Dame,ACC,13,20,+4.24,102.8,243,98.6,35,64.2,336,-.012,219,+9.26,62,111.2,52,101.9,62,-0.83,227
127,N/A,Michigan,B10,8,24,+3.82,110.5,93,106.7,182,67.4,174,-.083,342,+14.05,2,114.2,3,100.2,7,+7.82,25
128,N/A,Georgia Tech,ACC,14,18,+3.78,108.9,127,105.2,152,67.5,167,+.072,30,+10.73,28,111.3,50,100.6,14,+4.85,71
129,N/A,Arizona St.,P12,14,18,+3.76,103.9,220,100.2,63,69.1,84,+.064,45,+10.48,33,111.6,42,101.1,28,+6.23,46
130,N/A,Troy,SB,20,12,+3.73,107.2,157,103.5,119,69.6,65,-.052,303,-1.67,212,105.3,221,107.0,214,+0.95,165
131,N/A,Arkansas St.,SB,18,16,+3.32,113.6,61,110.3,259,67.8,152,-.024,251,+0.54,151,106.6,155,106.1,169,+2.28,126
132,15,Western Kentucky,CUSA,22,11,+3.06,105.6,191,102.5,103,75.1,1,-.051,299,-2.53,243,103.7,289,106.2,174,-2.76,270
133,N/A,Youngstown St.,Horz,22,10,+2.99,108.2,143,105.2,151,68.8,95,-.022,246,-4.08,286,105.4,217,109.5,354,+1.30,154
134,15,South Dakota St.,Sum,22,12,+2.99,108.7,134,105.7,163,67.9,148,-.018,233,-2.40,235,105.6,201,108.0,281,+3.11,105
135,N/A,Tarleton St.,WAC,23,9,+2.84,108.9,128,106.1,175,66.5,246,+.156,1,+0.73,143,105.1,237,104.4,108,+5.44,58
136,N/A,Tulane,Amer,14,17,+2.82,110.8,91,108.0,213,72.6,12,-.086,345,+3.59,104,108.0,108,104.4,110,-3.22,283
137,14,Oakland,Horz,23,11,+2.82,108.6,135,105.8,165,66.7,232,+.082,21,-1.08,198,107.1,139,108.2,289,+9.90,15
138,N/A,Liberty,CUSA,18,14,+2.71,109.1,120,106.4,179,64.5,328,-.052,304,+0.16,158,104.4,259,104.3,105,+3.14,102
139,N/A,Toledo,MAC,20,12,+2.69,112.8,72,110.1,255,69.3,76,+.004,167,-1.34,205,105.3,220,106.6,200,+5.15,68
140,N/A,Chattanooga,SC,21,12,+2.49,110.4,95,107.9,212,66.9,216,+.027,109,-2.02,221,105.2,230,107.2,230,-4.30,307
141,N/A,Furman,SC,17,16,+2.35,109.9,104,107.6,208,68.7,98,-.068,327,+0.87,141,107.4,126,106.5,189,+2.26,128
142,N/A,Sam Houston St.,CUSA,21,12,+2.30,106.0,179,103.7,127,67.4,168,+.066,42,-0.07,166,104.3,269,104.3,107,+2.92,111
143,N/A,Ohio,MAC,20,13,+2.30,109.1,122,106.8,185,67.3,180,-.096,352,-4.29,289,104.0,281,108.3,293,-2.54,268
144,N/A,West Virginia,B12,9,23,+2.29,108.4,139,106.1,177,68.4,114,-.009,211,+12.35,11,112.0,32,99.6,4,+2.89,114
145,14,Colgate,Pat,25,9,+2.15,104.7,211,102.5,104,66.2,253,+.057,55,-6.97,340,101.9,330,108.9,328,+6.56,41
146,N/A,St. Thomas,Sum,20,13,+1.86,107.7,148,105.8,169,62.9,353,-.087,348,-4.74,301,104.7,252,109.4,353,-3.71,290
147,N/A,Towson,CAA,20,14,+1.83,103.5,226,101.7,94,62.2,357,+.012,154,-1.01,196,106.5,159,107.5,253,+1.73,143
148,N/A,UNC Greensboro,SC,21,11,+1.71,109.2,118,107.5,204,64.7,321,+.070,33,-0.63,186,106.2,180,106.8,207,-0.32,209
149,N/A,Eastern Washington,BSky,21,11,+1.68,112.1,78,110.4,260,70.4,44,+.072,32,-1.22,203,106.1,181,107.3,240,+9.00,19
150,N/A,Missouri,SEC,8,24,+1.68,108.4,137,106.8,184,66.6,238,-.137,362,+9.92,45,112.4,22,102.4,74,-1.46,244
151,N/A,Missouri St.,MVC,17,16,+1.66,104.5,212,102.9,111,67.7,157,+.022,121,+2.53,121,107.3,132,104.8,121,-3.14,281
152,N/A,Louisiana,SB,19,14,+1.52,105.9,181,104.4,138,68.7,99,-.017,230,-0.52,181,106.5,157,107.1,221,+1.98,135
153,N/A,UMass Lowell,AE,22,10,+1.43,106.2,174,104.8,148,70.0,52,-.004,197,-4.03,284,102.2,321,106.2,175,-2.95,276
154,N/A,Weber St.,BSky,20,12,+1.35,108.8,130,107.4,203,65.5,286,-.014,225,-2.22,230,105.2,227,107.5,249,+4.34,80
155,N/A,Wichita St.,Amer,15,19,+1.21,104.7,209,103.5,121,67.9,145,-.037,281,+3.72,101,108.9,95,105.2,134,+1.75,142
156,N/A,Wyoming,MWC,15,17,+1.00,108.7,133,107.7,209,67.1,199,+.038,91,+6.73,86,110.5,73,103.8,91,+2.65,118
157,16,Longwood,BSth,21,13,+0.96,105.7,188,104.8,146,66.8,227,-.047,295,-4.01,283,104.5,257,108.5,309,-6.74,344
158,N/A,Montana,BSky,23,11,+0.95,111.7,82,110.7,267,66.2,252,+.075,29,-3.30,265,104.8,247,108.1,286,+2.02,134
159,N/A,Oregon St.,P12,13,19,+0.84,106.9,167,106.1,174,65.1,308,+.044,81,+9.20,63,110.6,71,101.4,38,+0.70,174
160,N/A,Purdue Fort Wayne,Horz,21,12,+0.82,105.2,200,104.4,137,70.5,39,-.059,313,-6.23,329,104.0,284,110.2,362,-9.02,358
161,N/A,Wright St.,Horz,18,14,+0.76,115.9,33,115.2,348,71.4,21,-.058,312,-2.48,239,105.1,239,107.6,256,+4.25,83
162,N/A,Murray St.,MVC,12,20,+0.65,107.5,150,106.8,188,64.3,333,-.113,359,+3.26,106,107.4,125,104.1,100,+0.26,193
163,15,Long Beach St.,BW,21,14,-0.00,107.9,145,107.9,210,71.2,29,+.047,71,-0.56,182,104.9,245,105.5,144,+1.51,150
164,N/A,UNC Asheville,BSth,22,12,-0.07,107.5,151,107.5,207,68.1,136,+.083,20,-1.03,197,106.4,168,107.4,244,+3.54,93
165,N/A,Lipscomb,ASun,20,12,-0.18,112.0,79,112.2,307,69.0,90,+.010,157,-3.63,274,105.4,213,109.1,338,+2.35,123
166,N/A,Fairfield,MAAC,22,12,-0.28,108.8,129,109.1,238,68.3,125,+.015,149,-5.19,311,101.7,333,106.9,213,-2.44,266
167,N/A,Hawaii,BW,20,14,-0.34,104.9,206,105.2,155,66.1,262,-.008,205,-2.86,248,104.0,283,106.8,210,-5.18,318
168,N/A,Quinnipiac,MAAC,24,9,-0.36,106.0,180,106.3,178,71.3,25,+.079,23,-6.73,337,101.1,343,107.8,268,-7.01,348
169,N/A,Delaware,CAA,19,14,-0.57,105.0,203,105.6,160,67.4,178,-.014,223,-2.87,249,105.2,233,108.0,282,-0.50,214
170,N/A,Utah Valley,WAC,16,16,-0.58,99.9,290,100.5,66,67.6,161,+.000,180,+1.51,133,106.3,174,104.8,118,+7.21,33
171,N/A,Stony Brook,CAA,20,15,-0.59,106.4,172,107.0,195,67.4,169,+.054,60,-1.16,201,105.4,216,106.6,192,+1.24,156
172,N/A,Kent St.,MAC,17,17,-0.67,106.1,177,106.8,186,66.5,244,-.083,343,-1.85,218,105.2,231,107.0,220,+3.70,92
173,N/A,Bryant,AE,20,13,-0.78,101.1,269,101.9,96,74.1,3,+.066,40,-1.35,206,104.3,263,105.7,154,+3.91,89
174,N/A,UC Davis,BW,20,13,-0.80,102.3,250,103.2,113,67.1,201,+.035,101,-2.21,227,105.2,224,107.5,248,-3.75,292
175,N/A,East Tennessee St.,SC,19,16,-1.01,103.4,228,104.4,139,67.0,212,+.028,107,+0.01,163,106.3,169,106.3,181,+1.12,162
176,N/A,Winthrop,BSth,17,15,-1.09,106.9,165,108.0,214,66.9,217,-.057,309,-1.71,214,106.0,186,107.7,262,+1.12,161
177,N/A,Stephen F. Austin,WAC,18,15,-1.10,101.7,257,102.8,110,69.2,81,+.008,162,-0.61,184,105.0,242,105.6,152,-0.79,224
178,N/A,Texas A&M Corpus Chris,Slnd,21,11,-1.17,100.9,271,102.1,98,68.8,97,+.001,178,-7.30,345,102.0,329,109.3,346,+1.67,144
179,N/A,UTEP,CUSA,18,16,-1.19,98.4,308,99.6,53,69.7,62,-.009,209,-0.48,179,105.2,234,105.6,153,-0.82,226
180,N/A,Illinois St.,MVC,15,17,-1.79,102.6,244,104.4,140,63.6,343,+.021,127,+1.32,134,107.5,123,106.1,170,-3.88,296
181,N/A,Texas St.,SB,17,18,-1.80,100.6,276,102.4,102,66.3,250,+.037,95,+1.62,130,107.2,135,105.6,149,+7.36,31
182,N/A,Temple,Amer,16,20,-2.17,102.6,245,104.7,143,66.8,226,+.033,102,+2.41,123,108.3,103,105.9,162,-1.55,248
183,N/A,Tulsa,Amer,16,15,-2.20,103.0,238,105.2,156,70.4,42,+.001,175,-0.94,194,105.9,188,106.8,212,-10.22,360
184,N/A,Little Rock,OVC,21,12,-2.20,107.0,164,109.2,239,68.6,101,-.004,195,-8.89,356,100.7,348,109.6,355,-6.08,339
185,N/A,Brown,Ivy,13,18,-2.23,104.4,216,106.6,181,67.1,198,-.010,213,+1.27,136,106.7,154,105.4,141,+0.37,188
186,N/A,Northern Kentucky,Horz,18,15,-2.31,103.2,235,105.5,159,68.0,140,+.018,141,-2.08,224,106.2,176,108.3,296,+4.60,75
187,15,Saint Peter's,MAAC,19,13,-2.32,98.6,305,100.9,76,64.0,338,+.021,129,-4.30,290,102.7,311,107.0,217,+0.55,180
