Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
1,1,Kansas,B12,37,3,+35.21,120.9,2,85.7,1,66.8,109,+.012,138,+9.57,14,109.2,8,99.6,35,-1.41,184
2,1,Memphis,CUSA,38,2,+31.51,118.0,6,86.5,2,68.1,76,+.012,141,+5.83,72,107.0,62,101.1,79,+5.45,39
3,1,North Carolina,ACC,36,3,+30.22,122.1,1,91.9,14,72.5,9,+.050,55,+10.18,7,108.0,36,97.8,2,+1.50,107
4,1,UCLA,P10,35,4,+29.94,118.0,7,88.1,5,64.1,209,+.047,62,+10.03,9,109.3,6,99.3,24,-1.63,196
5,3,Wisconsin,B10,31,5,+26.68,113.5,37,86.8,3,61.1,306,+.043,69,+7.35,51,107.1,61,99.8,40,-0.19,154
6,2,Duke,ACC,28,6,+26.40,116.3,13,89.9,7,71.5,13,-.006,189,+10.06,8,109.1,9,99.0,18,+3.36,73
7,2,Georgetown,BE,28,6,+25.56,115.2,21,89.7,6,60.5,316,+.029,99,+8.48,35,108.2,31,99.8,39,-2.72,235
8,3,Louisville,BE,27,9,+25.41,113.1,40,87.7,4,65.3,160,-.057,300,+9.34,21,108.4,28,99.0,17,+0.79,126
9,2,Texas,B12,31,7,+25.09,120.6,3,95.5,42,63.9,222,+.044,67,+10.37,6,108.4,29,98.0,3,+0.04,146
10,4,Washington St.,P10,26,9,+24.32,115.1,23,90.8,9,58.3,334,-.004,179,+8.99,29,109.0,12,100.0,52,-6.51,309
11,10,Davidson,SC,29,7,+23.61,117.0,9,93.4,24,66.2,133,-.036,260,+3.36,102,105.2,105,101.8,97,+14.93,1
12,3,Stanford,P10,28,8,+22.75,113.6,36,90.9,10,63.4,248,+.040,78,+9.32,22,109.1,11,99.7,37,-6.32,306
13,2,Tennessee,SEC,31,5,+22.17,116.2,15,94.0,28,70.7,20,+.110,4,+9.58,13,109.4,4,99.8,41,+7.64,24
14,6,Marquette,BE,25,10,+22.16,115.3,20,93.1,21,66.6,118,-.027,240,+8.62,32,107.9,41,99.3,26,-6.37,307
15,3,Xavier,A10,30,7,+22.05,117.3,8,95.2,39,63.8,225,+.054,49,+6.94,53,108.1,34,101.2,80,+3.50,69
16,5,Clemson,ACC,24,10,+22.03,114.0,35,91.9,15,68.0,78,-.044,280,+9.53,15,109.3,5,99.8,42,+0.31,137
