Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
1,1,North Carolina,ACC,31,7,+31.37,121.0,3,89.6,4,72.4,8,-.046,279,+10.95,6,111.0,1,100.1,27,+3.10,82
2,1,Florida,SEC,35,5,+30.81,122.8,1,92.0,13,65.8,162,+.028,110,+8.73,33,109.1,33,100.3,37,-6.87,312
3,1,Ohio St.,B10,35,4,+29.33,121.0,4,91.7,11,64.9,206,+.057,46,+9.82,17,109.0,37,99.2,4,-1.71,191
4,2,Georgetown,BE,30,7,+28.48,122.0,2,93.5,21,59.4,327,+.006,163,+10.41,10,109.7,18,99.3,5,-1.02,174
5,1,Kansas,B12,33,5,+27.81,115.3,29,87.5,1,68.7,63,+.031,102,+6.86,59,108.1,58,101.2,64,-0.93,170
6,2,UCLA,P10,30,6,+27.15,115.4,27,88.3,2,63.7,251,+.019,132,+11.08,4,111.0,3,99.9,20,+5.93,39
